Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Higher Love,Steve Winwood,Back In The High Life,1986-06-30,62.0,351506.0,1
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick,Greatest Hits 1979-1990,1989-10-31,53.0,256466.0,1
Top Gun Anthem,Harold Faltermeyer,Top Gun: Maverick (Music From The Motion Picture),2022-05-27,59.0,148933.0,1
Down to the Moon,Andreas Vollenweider,Down to the Moon,1986-03-10,41.0,147240.0,1
Back Where You Started,Tina Turner,Break Every Rule,1986-01-10,17.0,267600.0,1
Addicted To Love,Robert Palmer,Riptide,1985-01-01,64.0,363640.0,1
Missionary Man,nan,,,,,1
Peter Gunn,Duane Eddy,Especially for You,1959-05-01,45.0,150866.0,1
Caught Up In the Rapture,Anita Baker,Jazzy Soul,2017-09-18,46.0,250266.0,1
"Living in America - From ""Rocky IV"" Soundtrack",James Brown,Rocky IV,1985,52.0,282840.0,1
Kiss,Prince,Parade - Music from the Motion Picture Under the Cherry Moon,1986-03-31,70.0,226240.0,1
And You Know That,Yellowjackets,,,,,1
Sweet Dreams Will Come,Nanci Griffith,Little Love Affairs,1988-01-01,11.0,266866.0,1
Double Vision,David Sanborn,,,,,1
Timeless,Diane Schuur,,,,,1
'Round Midnight - Live,Bobby McFerrin,Play,1992-01-01,11.0,479960.0,1
Free Fall,2+2 Plus,,,,,1
TuTuTu,NANE,TuTuTu,2022-11-14,36.0,177391.0,1
J Mood,Wynton Marsalis,J Mood,1986-10-14,6.0,511200.0,1
Johnny's Theme (The Tonight Show Theme),Doc Severinsen,The Tonight Show Band with Doc Severinsen,1986-01-01,34.0,80960.0,1
Whoever's In New England,Reba McEntire,Whoever's In New England,1986-01-01,42.0,203293.0,1
Lost In The Fifties Tonight,Ronnie Milsap,Lost In The Fifties Tonight,1986-02-01,50.0,258346.0,1
Grandpa (Tell Me 'Bout The Good Old Days),nan,,,,,1
Raisin' The Dickins,Ricky Skaggs,,,,,1
Grandpa (Tell Me 'Bout The Good Old Days),nan,,,,,1
Was It a Morning Like This,Sandi Patty,Morning Like This,1986-03-01,29.0,202373.0,1
Triumph,Philip Bailey,,,,,1
They Say,Sandi Patti,,,,,1
I Surrender All,Deniece Williams,,,,,1
Going Away,Al Green,He Is The Light,1985,6.0,218400.0,1
Let My People Go,nan,,,,,1
Le Lo Lai,Jose Feliciano,,,,,1
Escenas,Rubén Blades,,,,,1
Ay Te Dejo en San Antonio,Flaco Jimenez,Ay Te Dejo En San Antonio Y Mas!,1990-01-01,30.0,172600.0,1
Showdown!,Robert Cray,,,,,1
Riding That Midnight Train,Doc Watson,Riding The Midnight Train,1986-01-01,8.0,126826.0,1
Tribute To Steve Goodman,Al Bunetta,,,,,1
I Remember Warsaw Waltz,Jimmy Sturr,Born to Polka,2022-03-01,0.0,234640.0,1
Another Polka Celebration,nan,,,,,1
Babylon the Bandit,Steel Pulse,Babylon the Bandit,1985-11-19,27.0,302026.0,1
Eating the Alphabet,Nancy McI McCabe,Make Your Own Sunshine: Music for Children,2018-08-30,0.0,172303.0,1
"Those Of You With Or Without Children, You'll Understand",Bill Cosby,,,,,1
Interviews From The Class Of '55 Recording Sessions,Johnny Cash,,,,,1
Follies In Concert,nan,,,,,1
